id,name
c77631ca4f0e08419b70726a447333ab6,This
cad1ec60c9e1f10f6a9f5d9f2c5254bc6,Technical
c4b1b4dc8cf38b3c64b1d657da8f5ac8c,Report
c2806259c227f694c678ec9444aec2042,College
cce7898536dd0e928d1640ee2ad531cc8,Multi
c6ac2c127cbb7707592bcaf9933ec7560,Key Words: Parallel systems
ca164e3a28eaaf9323117f0e3ba10971a,performance metrics
c05a24c5bf51549bede9ad4505e1cb41f,performance evaluation
c79690bb5e3d28dba2158c96525905bbf,experimentation
c026a75fe322349db0ce07e368ee97a22,theoretical/analytical models
c9e083ec666c9f3db044bb7c381640227,simulation
cb5cd6d93104fbee24b556a3998163c80,Abstracting
ccddff03c33e8452baacd762e4c6d26e0,current and future generation DSM systems
cdaab5589b939c1384b9c367775d6bce8,Multiprocessor Systems
c7f504aed78b58af4c778342c89acb956,Scalable Systems
cd2091ba3a246a466a754a7e8d3bcfd96,Clustered Architectures
c343c918d0780e3980996b722026bcfdb,Hierarchical Organization
c286efc868b65de8a4f3be985bed00336,k-ary n-cube Interconnection
cd24003e86eb9dbd1471fdb6398184d0a,Packaging Constraints
cf286606c1500b7d801907263afbd90fc,Parallel Architectures
cfbb725b92cd9f96718d58346b4cc0df1,Interconnection Networks
c8242b65442bb32c3eb7cf13536aac810,Mohammad
cb72e9d82e12d410ff126a553860407e6,Banikazemi
c03f8e154b1ff9a18c1a238a42e558f1a,Vijay
ce5d284b6015067eaa11e06b809fe6f13,Ram
c32bba56f5753fec52f0dc3fa334e6a51,Kesavan
c7092783cd3b67372ff88fa3d2744f685,Dhabaleswar
cfae737cad0ab4e95a2de29b283ff08b1,Debashis
c55cf92a75dee32bf7dc3f645f7e67bc1,Basak
c88a1972f21fea5cf8a1b3a77f681a47f,Donglai
c2c27f527571abefdf54480d3f2e4295d,Dai
c679310a95d28d9a928a0eb6960d3ea27,EEG
c5b5de8fb97c533030e2a75189f94271f,power spectrum
cb1bfdef67652915cea5f7079ea74f029,alertness
c7c19187658a47ad3a75437e4ef5a62f6,neural networks
c41c24e5d6f47dd118f9357797eb47539,vigilance
c9700af39b59f0c84b11b49ff5945c8b2,neural human-system interfaces
c4d3d769b812b6faa6b76e1a8abaece2d,Active
c41de6d6cfb8953c021bbe4ba0701c8a1,Messages
c8f4a3a739447ed91f180767d3b63749d,Categories and Subject Descriptors: E
c4b7a2b2884f41c9f1806e5d5f6f370e8,Categories and Subject Descriptors: E.5 [Data]: files
c0868818ce8ef52a4e3d1a30398e1a608,retrieval
c9cf0fad66f27ca22b7ee721d5413ea62,searching
c8b4939bcf8f2d06f72b94cc1bd204569,sorting
cc1d9f50f86825a1a2302ec2449c17196,H
c810633c6cb5b721a84d666a06f9ac9fe,H.2
c0b0dae5d13438370a10972d4486283fa,H.2.4 [Database Management]: query processing
ca115626031f948d915fa05879129a39b,query evaluation algorithms
cecfbc67e60dbb7b56721dc8e546b2a9a,parallelism
c510050a4b4f0428913506ce624d11fc3,systems architecture
ce9e9ff522cae2cb6bf601cf6bb421417,systems architecture.General Terms: Software
cefe79c321127e9bcc1ad7f6956d52ca6,architecture
c66270707424a729c3e557fceb03f45c9,algorithms
cc05f6c233521207f6fe311afef550c3c,performance
ceeabb1563a66e513135facdcfbc9d1a7,performance.Additional Keywords and Phrases: Relational
